STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,MEASURE,Measure,AGE,Age,SEX,Sex,REGION,Region,FREQ,Frequency,TIME_PERIOD,Time Period,OBS_VALUE,Observation Value,UNIT_MEASURE,Unit of Measure,OBS_STATUS,Observation Status,OBS_COMMENT,Observation Comment
DATAFLOW,ABS:NIM_FY(1.0.0),"Interstate migration: Arrivals, departures and net, State/territory, Age and sex - Financial years, 1996-97 onwards",I,1,NIM Arrivals,7599,75 and over,3,Persons,4,South Australia,A,Annual,2017,,410,,NUM,Number,,,,
DATAFLOW,ABS:NIM_FY(1.0.0),"Interstate migration: Arrivals, departures and net, State/territory, Age and sex - Financial years, 1996-97 onwards",I,1,NIM Arrivals,7599,75 and over,3,Persons,4,South Australia,A,Annual,2018,,440,,NUM,Number,,,,
DATAFLOW,ABS:NIM_FY(1.0.0),"Interstate migration: Arrivals, departures and net, State/territory, Age and sex - Financial years, 1996-97 onwards",I,1,NIM Arrivals,7599,75 and over,3,Persons,4,South Australia,A,Annual,2019,,460,,NUM,Number,,,,
DATAFLOW,ABS:NIM_FY(1.0.0),"Interstate migration: Arrivals, departures and net, State/territory, Age and sex - Financial years, 1996-97 onwards",I,1,NIM Arrivals,7599,75 and over,3,Persons,4,South Australia,A,Annual,2020,,430,,NUM,Number,,,,
DATAFLOW,ABS:NIM_FY(1.0.0),"Interstate migration: Arrivals, departures and net, State/territory, Age and sex - Financial years, 1996-97 onwards",I,1,NIM Arrivals,7599,75 and over,3,Persons,4,South Australia,A,Annual,2021,,580,,NUM,Number,,,,
DATAFLOW,ABS:NIM_FY(1.0.0),"Interstate migration: Arrivals, departures and net, State/territory, Age and sex - Financial years, 1996-97 onwards",I,1,NIM Arrivals,7599,75 and over,3,Persons,4,South Australia,A,Annual,2022,,530,,NUM,Number,,,,
DATAFLOW,ABS:NIM_FY(1.0.0),"Interstate migration: Arrivals, departures and net, State/territory, Age and sex - Financial years, 1996-97 onwards",I,1,NIM Arrivals,7599,75 and over,3,Persons,4,South Australia,A,Annual,2023,,580,,NUM,Number,,,,
DATAFLOW,ABS:NIM_FY(1.0.0),"Interstate migration: Arrivals, departures and net, State/territory, Age and sex - Financial years, 1996-97 onwards",I,1,NIM Arrivals,7599,75 and over,3,Persons,4,South Australia,A,Annual,2024,,490,,NUM,Number,,,,
DATAFLOW,ABS:NIM_FY(1.0.0),"Interstate migration: Arrivals, departures and net, State/territory, Age and sex - Financial years, 1996-97 onwards",I,1,NIM Arrivals,7599,75 and over,3,Persons,4,South Australia,A,Annual,2025,,480,,NUM,Number,,,,
DATAFLOW,ABS:NIM_FY(1.0.0),"Interstate migration: Arrivals, departures and net, State/territory, Age and sex - Financial years, 1996-97 onwards",I,2,NIM Departures,7599,75 and over,3,Persons,8,Australian Capital Territory,A,Annual,2017,,250,,NUM,Number,,,,
DATAFLOW,ABS:NIM_FY(1.0.0),"Interstate migration: Arrivals, departures and net, State/territory, Age and sex - Financial years, 1996-97 onwards",I,2,NIM Departures,7599,75 and over,3,Persons,8,Australian Capital Territory,A,Annual,2018,,280,,NUM,Number,,,,
DATAFLOW,ABS:NIM_FY(1.0.0),"Interstate migration: Arrivals, departures and net, State/territory, Age and sex - Financial years, 1996-97 onwards",I,2,NIM Departures,7599,75 and over,3,Persons,8,Australian Capital Territory,A,Annual,2019,,280,,NUM,Number,,,,
DATAFLOW,ABS:NIM_FY(1.0.0),"Interstate migration: Arrivals, departures and net, State/territory, Age and sex - Financial years, 1996-97 onwards",I,2,NIM Departures,7599,75 and over,3,Persons,8,Australian Capital Territory,A,Annual,2020,,250,,NUM,Number,,,,
DATAFLOW,ABS:NIM_FY(1.0.0),"Interstate migration: Arrivals, departures and net, State/territory, Age and sex - Financial years, 1996-97 onwards",I,2,NIM Departures,7599,75 and over,3,Persons,8,Australian Capital Territory,A,Annual,2021,,260,,NUM,Number,,,,
DATAFLOW,ABS:NIM_FY(1.0.0),"Interstate migration: Arrivals, departures and net, State/territory, Age and sex - Financial years, 1996-97 onwards",I,2,NIM Departures,7599,75 and over,3,Persons,8,Australian Capital Territory,A,Annual,2022,,290,,NUM,Number,,,,
DATAFLOW,ABS:NIM_FY(1.0.0),"Interstate migration: Arrivals, departures and net, State/territory, Age and sex - Financial years, 1996-97 onwards",I,2,NIM Departures,7599,75 and over,3,Persons,8,Australian Capital Territory,A,Annual,2023,,310,,NUM,Number,,,,
DATAFLOW,ABS:NIM_FY(1.0.0),"Interstate migration: Arrivals, departures and net, State/territory, Age and sex - Financial years, 1996-97 onwards",I,2,NIM Departures,7599,75 and over,3,Persons,8,Australian Capital Territory,A,Annual,2024,,330,,NUM,Number,,,,
DATAFLOW,ABS:NIM_FY(1.0.0),"Interstate migration: Arrivals, departures and net, State/territory, Age and sex - Financial years, 1996-97 onwards",I,2,NIM Departures,7599,75 and over,3,Persons,8,Australian Capital Territory,A,Annual,2025,,320,,NUM,Number,,,,
DATAFLOW,ABS:NIM_FY(1.0.0),"Interstate migration: Arrivals, departures and net, State/territory, Age and sex - Financial years, 1996-97 onwards",I,3,Net Interstate Migration,TOT,All ages,3,Persons,1,New South Wales,A,Annual,2017,,-15960,,NUM,Number,,,,
DATAFLOW,ABS:NIM_FY(1.0.0),"Interstate migration: Arrivals, departures and net, State/territory, Age and sex - Financial years, 1996-97 onwards",I,3,Net Interstate Migration,TOT,All ages,3,Persons,1,New South Wales,A,Annual,2018,,-22500,,NUM,Number,,,,
DATAFLOW,ABS:NIM_FY(1.0.0),"Interstate migration: Arrivals, departures and net, State/territory, Age and sex - Financial years, 1996-97 onwards",I,3,Net Interstate Migration,TOT,All ages,3,Persons,1,New South Wales,A,Annual,2019,,-23830,,NUM,Number,,,,
DATAFLOW,ABS:NIM_FY(1.0.0),"Interstate migration: Arrivals, departures and net, State/territory, Age and sex - Financial years, 1996-97 onwards",I,3,Net Interstate Migration,TOT,All ages,3,Persons,1,New South Wales,A,Annual,2020,,-22450,,NUM,Number,,,,
DATAFLOW,ABS:NIM_FY(1.0.0),"Interstate migration: Arrivals, departures and net, State/territory, Age and sex - Financial years, 1996-97 onwards",I,3,Net Interstate Migration,TOT,All ages,3,Persons,1,New South Wales,A,Annual,2021,,-34010,,NUM,Number,,,,
DATAFLOW,ABS:NIM_FY(1.0.0),"Interstate migration: Arrivals, departures and net, State/territory, Age and sex - Financial years, 1996-97 onwards",I,3,Net Interstate Migration,TOT,All ages,3,Persons,1,New South Wales,A,Annual,2022,,-25550,,NUM,Number,,,,
DATAFLOW,ABS:NIM_FY(1.0.0),"Interstate migration: Arrivals, departures and net, State/territory, Age and sex - Financial years, 1996-97 onwards",I,3,Net Interstate Migration,TOT,All ages,3,Persons,1,New South Wales,A,Annual,2023,,-35300,,NUM,Number,,,,
DATAFLOW,ABS:NIM_FY(1.0.0),"Interstate migration: Arrivals, departures and net, State/territory, Age and sex - Financial years, 1996-97 onwards",I,3,Net Interstate Migration,TOT,All ages,3,Persons,1,New South Wales,A,Annual,2024,,-29750,,NUM,Number,,,,
DATAFLOW,ABS:NIM_FY(1.0.0),"Interstate migration: Arrivals, departures and net, State/territory, Age and sex - Financial years, 1996-97 onwards",I,3,Net Interstate Migration,TOT,All ages,3,Persons,1,New South Wales,A,Annual,2025,,-24330,,NUM,Number,,,,
DATAFLOW,ABS:NIM_FY(1.0.0),"Interstate migration: Arrivals, departures and net, State/territory, Age and sex - Financial years, 1996-97 onwards",I,3,Net Interstate Migration,TOT,All ages,3,Persons,5,Western Australia,A,Annual,2017,,-11900,,NUM,Number,,,,
DATAFLOW,ABS:NIM_FY(1.0.0),"Interstate migration: Arrivals, departures and net, State/territory, Age and sex - Financial years, 1996-97 onwards",I,3,Net Interstate Migration,TOT,All ages,3,Persons,5,Western Australia,A,Annual,2018,,-8770,,NUM,Number,,,,
DATAFLOW,ABS:NIM_FY(1.0.0),"Interstate migration: Arrivals, departures and net, State/territory, Age and sex - Financial years, 1996-97 onwards",I,3,Net Interstate Migration,TOT,All ages,3,Persons,5,Western Australia,A,Annual,2019,,-3410,,NUM,Number,,,,
DATAFLOW,ABS:NIM_FY(1.0.0),"Interstate migration: Arrivals, departures and net, State/territory, Age and sex - Financial years, 1996-97 onwards",I,3,Net Interstate Migration,TOT,All ages,3,Persons,5,Western Australia,A,Annual,2020,,270,,NUM,Number,,,,
DATAFLOW,ABS:NIM_FY(1.0.0),"Interstate migration: Arrivals, departures and net, State/territory, Age and sex - Financial years, 1996-97 onwards",I,3,Net Interstate Migration,TOT,All ages,3,Persons,5,Western Australia,A,Annual,2021,,14000,,NUM,Number,,,,
DATAFLOW,ABS:NIM_FY(1.0.0),"Interstate migration: Arrivals, departures and net, State/territory, Age and sex - Financial years, 1996-97 onwards",I,3,Net Interstate Migration,TOT,All ages,3,Persons,5,Western Australia,A,Annual,2022,,12100,,NUM,Number,,,,
DATAFLOW,ABS:NIM_FY(1.0.0),"Interstate migration: Arrivals, departures and net, State/territory, Age and sex - Financial years, 1996-97 onwards",I,3,Net Interstate Migration,TOT,All ages,3,Persons,5,Western Australia,A,Annual,2023,,16530,,NUM,Number,,,,
DATAFLOW,ABS:NIM_FY(1.0.0),"Interstate migration: Arrivals, departures and net, State/territory, Age and sex - Financial years, 1996-97 onwards",I,3,Net Interstate Migration,TOT,All ages,3,Persons,5,Western Australia,A,Annual,2024,,14290,,NUM,Number,,,,
DATAFLOW,ABS:NIM_FY(1.0.0),"Interstate migration: Arrivals, departures and net, State/territory, Age and sex - Financial years, 1996-97 onwards",I,3,Net Interstate Migration,TOT,All ages,3,Persons,5,Western Australia,A,Annual,2025,,10290,,NUM,Number,,,,
DATAFLOW,ABS:NIM_FY(1.0.0),"Interstate migration: Arrivals, departures and net, State/territory, Age and sex - Financial years, 1996-97 onwards",I,1,NIM Arrivals,A45,45-49,3,Persons,6,Tasmania,A,Annual,2017,,720,,NUM,Number,,,,
DATAFLOW,ABS:NIM_FY(1.0.0),"Interstate migration: Arrivals, departures and net, State/territory, Age and sex - Financial years, 1996-97 onwards",I,1,NIM Arrivals,A45,45-49,3,Persons,6,Tasmania,A,Annual,2018,,850,,NUM,Number,,,,
DATAFLOW,ABS:NIM_FY(1.0.0),"Interstate migration: Arrivals, departures and net, State/territory, Age and sex - Financial years, 1996-97 onwards",I,1,NIM Arrivals,A45,45-49,3,Persons,6,Tasmania,A,Annual,2019,,890,,NUM,Number,,,,
DATAFLOW,ABS:NIM_FY(1.0.0),"Interstate migration: Arrivals, departures and net, State/territory, Age and sex - Financial years, 1996-97 onwards",I,1,NIM Arrivals,A45,45-49,3,Persons,6,Tasmania,A,Annual,2020,,710,,NUM,Number,,,,
DATAFLOW,ABS:NIM_FY(1.0.0),"Interstate migration: Arrivals, departures and net, State/territory, Age and sex - Financial years, 1996-97 onwards",I,1,NIM Arrivals,A45,45-49,3,Persons,6,Tasmania,A,Annual,2021,,720,,NUM,Number,,,,
DATAFLOW,ABS:NIM_FY(1.0.0),"Interstate migration: Arrivals, departures and net, State/territory, Age and sex - Financial years, 1996-97 onwards",I,1,NIM Arrivals,A45,45-49,3,Persons,6,Tasmania,A,Annual,2022,,730,,NUM,Number,,,,
